ID,VDPYS,POB,PME,PPME,RM,RDJ,RC
United States,20.42,"320821000","57700","0.02",2,79.6,BBB*
Argentina,35.63,"43417000","175500","0.40",12,59.8,BB
Canada,17.59,"35871000","6500","0.02",16,68.5,BB
Brazil,37.98,"207848000","161100","0.08",17,34.4,BB
Jamaica,43.21,"2734000","5800","0.21",33,61.9,BB
Mexico,43.03,"127017000","376800","0.3",34,63.1,BB
Dominican Republic,47.97,"10528000","104800","1.00",35,59.1,BB
Costa Rica,36.35,"4808000","19400","0.40",38,45.6,BB
Nicaragua,43.53,"6082000","24600","0.40",41,66.1,B
Chile,31.23,"17948000","27700","0.15",44,52.6,B
Uruguay,26.65,"3432000","7800","0.23",47,43.7,B
Colombia,51.72,"48229000","308200","0.64",48,41.9,B
Guatemala,48.75,"16343000","138100","0.84",53,51.5,B
Paraguay,46.02,"6639000","26800","0.40",56,55.6,B
Ecuador,43.69,"16144000","65300","0.40",59,62.2,B
Peru,43.85,"31377000","200500","0.64",62,28.3,B
Trinidad and Tobago,35.88,"1360000","6200","0.45",75,44.6,CCC
Panama,37.46,"3929000","15900","0.40",80,73.1,CCC
El Salvador,49.88,"6127000","18100","0.29",85,28.9,CCC
Bolivia,49.71,"10725000","46900","0.44",92,36.7,CCC
Guyana,39.35,"767000","4800","0.62",93,50.7,CCC
Barbados,39.7,"284000",600,"0.21",94,29.3,CCC
Honduras,53.76,"8075000","23800","0.29",100,31.7,CCC
Haiti,57.68,"10711000","106600","1.00",108,37.2,CCC
Venezuela,58.82,"31108000","198800","0.64",122,40.9,CC
Suriname,36.66,"543000","2500","0.45",135,19.4,CC
Cuba,53.6,"11390000","37800","0.33",143,17.8,CC
